,round,categ_num,categ_person,flg_max_num,id,age,gender,gpa,income,subject_risk,cheat_activity,cheat_disagree,inc,holt_risk,mean_side,mean_cat_person
126,2,2,1,1,f3lxg2w5,21.0,Male,9.0,70 000 - 100 000 rubles,7.0,6.0,5.0,5,6,0.75,1.375
127,2,2,3,0,hd2fmrvz,19.0,Male,7.0,10 000 - 20 000 rubles,6.0,4.0,9.0,2,2,0.625,1.625
128,2,2,1,0,5okx6ma4,21.0,Male,9.0,>100 000 rubles,3.0,5.0,5.0,6,6,0.0,1.0
129,2,2,1,1,nt0ty2kl,21.0,Male,8.0,70 000 - 100 000 rubles,10.0,2.0,10.0,5,6,0.625,1.0
130,2,1,2,0,l1rb2j0z,21.0,Female,8.0,10 000 - 20 000 rubles,7.0,3.0,9.0,2,4,0.375,1.625
131,2,3,2,1,1rdx94cq,21.0,Male,7.0,>100 000 rubles,10.0,5.0,5.0,6,1,0.75,2.375
132,2,3,1,1,fsie3o6a,21.0,Female,8.0,40 000 - 70 000 rubles,6.0,4.0,8.0,4,8,0.75,1.0
133,2,3,1,0,yk8we7oo,21.0,Female,9.0,>100 000 rubles,1.0,3.0,5.0,6,6,0.375,1.25
134,2,1,1,1,evck7avu,21.0,Female,5.0,>100 000 rubles,3.0,4.0,6.0,6,1,0.625,1.125
135,2,1,1,0,f1g8nodq,20.0,Male,8.0,40 000 - 70 000 rubles,6.0,2.0,7.0,4,7,0.75,1.875
136,2,2,1,0,jdqa11s2,21.0,Female,9.0,20 000 - 40 000 rubles,3.0,7.0,7.0,3,6,0.625,1.625
137,2,1,2,1,knyd53il,20.0,Male,8.0,20 000 - 40 000 rubles,6.0,2.0,8.0,3,6,0.625,1.875
138,2,2,3,0,ooi7nekh,21.0,Male,7.0,70 000 - 100 000 rubles,8.0,2.0,8.0,5,6,0.375,3.0
139,2,1,1,1,l7zu3ga1,21.0,Female,8.0,>100 000 rubles,9.0,6.0,9.0,6,4,0.625,1.125
140,2,2,3,1,tenkfair,21.0,Female,7.0,40 000 - 70 000 rubles,7.0,5.0,3.0,4,4,0.75,1.875
141,2,3,2,1,dw0p5aus,24.0,Female,8.0,70 000 - 100 000 rubles,6.0,4.0,9.0,5,4,0.5,2.625
142,2,1,1,1,nhrultn8,20.0,Female,7.0,40 000 - 70 000 rubles,7.0,8.0,2.0,4,6,0.5,1.75
143,2,3,1,1,knz9rl9y,20.0,Female,8.0,70 000 - 100 000 rubles,10.0,10.0,1.0,5,2,0.75,2.125
144,2,1,1,1,gisfg4h9,20.0,Female,9.0,70 000 - 100 000 rubles,8.0,4.0,8.0,5,6,0.625,1.0
145,2,1,1,1,5ud4qjhj,20.0,Male,5.0,20 000 - 40 000 rubles,7.0,6.0,8.0,3,6,0.75,1.625
146,2,3,1,0,exnfiplb,21.0,Female,8.0,20 000 - 40 000 rubles,7.0,8.0,7.0,3,4,0.5,1.0
147,2,3,1,1,4pwfi1p4,21.0,Female,8.0,70 000 - 100 000 rubles,3.0,9.0,2.0,5,4,0.625,2.0
